"Time"	"Region"	"Cars"	"Motor cycles"	"Light goods"	"Heavy goods"	"Buses and coaches"	"Other vehicles"	"Total"
"1994 Q4"	"Scotland"	1588.749	28.873	151.841	31.681	15.599	65.164	1881.907
"1995 Q4"	"Scotland"	1609.449	28.691	149.456	31.72	15.408	63.458	1898.182
"1996 Q4"	"Scotland"	1678.274	31.238	152.562	32.43	15.904	62.67	1973.078
"1997 Q4"	"Scotland"	1730.17	32.742	155.078	31.226	16.4	62.644	2028.26
"1998 Q4"	"Scotland"	1778.007	36.373	154.897	31.076	15.926	61.611	2077.89
"1999 Q4"	"Scotland"	1826.931	41.465	159.19	32.018	16.495	59.703	2135.802
"2000 Q4"	"Scotland"	1875.963	44.679	162.688	34.005	16.819	59.36	2193.514
"2001 Q4"	"Scotland"	1938.829	47.377	167.775	33.629	16.829	58.325	2262.764
"2002 Q4"	"Scotland"	1993.525	51.947	174.646	34.057	16.893	59.307	2330.375
"2003 Q4"	"Scotland"	2031.033	55.812	183.498	34.892	17.13	60.745	2383.11
"2004 Q4"	"Scotland"	2076.774	59.728	194.482	36.445	17.553	63.66	2448.642
"2005 Q4"	"Scotland"	2139.189	62.117	209.851	37.706	17.84	65.236	2531.939
"2006 Q4"	"Scotland"	2156.811	64.517	221.21	38.496	17.507	65.755	2564.296
"2007 Q4"	"Scotland"	2200.825	68.792	234.012	38.381	17.534	67.431	2626.975
"2008 Q3"	"Scotland"	2236.127	77.088	241.549	38.265	17.599	66.584	2677.212
"2008 Q4"	"Scotland"	2233.187	71.282	239.715	37.59	17.194	66.218	2665.186
"2009 Q1"	"Scotland"	2238.938	71.097	239.675	37.141	17.037	66.503	2670.391
"2009 Q2"	"Scotland"	2244.793	78.352	242.174	37.285	17.059	67.167	2686.83
"2009 Q3"	"Scotland"	2248.6	77.945	242.875	37.608	16.946	67.441	2691.415
"2009 Q4"	"Scotland"	2248.541	71.979	241.964	37.209	16.716	67.49	2683.899
"2010 Q1"	"Scotland"	2248.396	69.935	242.066	36.81	16.68	67.429	2681.316
"2010 Q2"	"Scotland"	2260.072	77.583	245.064	37.053	16.7	68.042	2704.514
"2010 Q3"	"Scotland"	2269.898	77.354	245.526	36.788	16.625	68.442	2714.633
"2010 Q4"	"Scotland"	2254.538	68.625	240.236	36.371	16.286	68.658	2684.714
"2011 Q1"	"Scotland"	2263.474	68.017	238.116	36.12	16.283	69.128	2691.138
"2011 Q2"	"Scotland"	2270.842	76.206	241.65	36.421	16.338	70.137	2711.594
"2011 Q3"	"Scotland"	2274.376	75.312	239.721	36.288	16.219	70.709	2712.625
"2011 Q4"	"Scotland"	2264.384	66.222	237.57	35.624	15.9	71.207	2690.907
"2012 Q1"	"Scotland"	2274.875	66.492	239.125	35.433	15.786	72.341	2704.052
"2012 Q2"	"Scotland"	2283.861	75.21	241.403	35.633	15.869	73.225	2725.201
"2012 Q3"	"Scotland"	2297.977	74.893	243.244	35.654	15.746	73.6	2741.114
"2012 Q4"	"Scotland"	2285.13	65.684	241.488	35.441	15.567	73.803	2717.113
"2013 Q1"	"Scotland"	2294.736	63.974	243.32	35.193	15.579	74.123	2726.925
"2013 Q2"	"Scotland"	2317.859	75.278	247.666	35.501	15.625	75.152	2767.081
"2013 Q3"	"Scotland"	2331.667	76.247	248.724	35.803	15.65	75.924	2784.015
"2013 Q4"	"Scotland"	2319.169	65.966	247.429	35.714	15.268	75.691	2759.237
"2014 Q1"	"Scotland"	2340.163	65.543	249.469	35.809	15.307	76.121	2782.412
"2014 Q2"	"Scotland"	2360.666	77.535	255.191	36.29	15.559	77.069	2822.31
"2014 Q3"	"Scotland"	2381.272	79.023	258.813	36.633	15.656	77.828	2849.225
"2014 Q4"	"Scotland"	2369.34	67.278	256.011	36.439	15.286	77.006	2821.36
"2015 Q1"	"Scotland"	2382.92	66.635	259.76	36.256	15.207	77.003	2837.781
"2015 Q2"	"Scotland"	2395.481	76.923	265.107	36.672	15.314	78.144	2867.641
"2015 Q3"	"Scotland"	2406.022	77.961	269.347	37.249	15.321	78.816	2884.716
"2015 Q4"	"Scotland"	2394.195	68.374	269.185	36.986	15.177	78.84	2862.757
"2016 Q1"	"Scotland"	2419.66	68.647	273.533	36.841	15.22	79.22	2893.121
"2016 Q2"	"Scotland"	2424.519	78.017	278.309	37.545	15.284	79.632	2913.306
"2016 Q3"	"Scotland"	2433.988	79.137	281.85	37.828	15.173	80.344	2928.32
"2016 Q4"	"Scotland"	2433.096	69.75	282.589	38.05	14.918	80.448	2918.851
"2017 Q1"	"Scotland"	2448.713	70.254	286.028	37.864	14.867	80.769	2938.495
"2017 Q2"	"Scotland"	2460.64	79.543	290.417	38.428	14.908	82.569	2966.505
"2017 Q3"	"Scotland"	2474.762	80.026	294.469	38.642	14.892	83.155	2985.946
"2017 Q4"	"Scotland"	2462.378	69.759	293.591	38.223	14.667	82.981	2961.599
"2018 Q1"	"Scotland"	2468.649	68.907	291.952	37.663	14.623	82.628	2964.422
"2018 Q2"	"Scotland"	2483.195	79.501	294.687	36.895	14.699	83.67	2992.647
"2018 Q3"	"Scotland"	2491.925	80.824	297.996	37.134	14.659	85.516	3008.054
"2018 Q4"	"Scotland"	2485.959	70.542	297.555	36.781	14.493	85.383	2990.713
"2019 Q1"	"Scotland"	2499.281	71.667	301.039	36.628	14.496	84.713	3007.824
"2019 Q2"	"Scotland"	2516.759	80.592	305.515	37.125	14.551	85.555	3040.097
"2019 Q3"	"Scotland"	2530.875	81.836	308.237	36.961	14.373	86.284	3058.566
"2019 Q4"	"Scotland"	2524.477	71.666	307.567	36.837	14.154	86.078	3040.779
"2020 Q1"	"Scotland"	2538.727	70.613	306.403	34.602	10.722	85.657	3046.724
"2020 Q2"	"Scotland"	2497.241	77.585	303.46	33.871	11.123	84.356	3007.636
"2020 Q3"	"Scotland"	2522.859	82.245	314.994	35.057	12.768	86.084	3054.007
"2020 Q4"	"Scotland"	2519.782	73.367	315.639	34.971	12.515	86.061	3042.335
"2021 Q1"	"Scotland"	2518.555	73.222	318.469	34.949	12.35	86.807	3044.352
"2021 Q2"	"Scotland"	2539.28	84.932	327.058	36.106	12.743	87.653	3087.772
