"Quarter"	"Battery"	"Hybrid"	"Total"	"Other"
"2014 Q1"	930	117	1047	0
"2014 Q2"	1049	171	1220	0
"2014 Q3"	1206	306	1512	0
"2014 Q4"	1364	420	1784	0
"2011"	385	0	385	0
"2012"	549	16	588	23
"2013"	721	42	809	46
"2014"	1265	310	1685	110
"2015 Q1"	1447	508	2077	122
"2015 Q2"	1571	698	2396	127
"2015 Q3"	1663	874	2679	142
"2015 Q4"	1858	1045	3055	152
"2016 Q1"	2050	1323	3545	172
"2016 Q2"	2206	1515	3918	197
"2016 Q3"	2403	1780	4392	209
"2016 Q4"	2554	1953	4752	245
"2017 Q1"	2837	2264	5400	299
"2017 Q2"	3081	2540	5979	358
"2017 Q3"	3416	2974	6789	399
"2017 Q4"	3625	3315	7405	465
"2018 Q1"	3943	3853	8302	506
"2018 Q2"	4182	4504	9217	531
"2018 Q3"	4612	5071	10255	572
"2018 Q4"	4877	5744	11245	624
"2019 Q1"	5394	6295	12345	656
"2019 Q2"	5820	6773	13266	673
"2019 Q3"	6666	7317	14687	704
"2019 Q4"	7529	7851	16110	730
"2020 Q1"	8714	8399	17873	760
"2020 Q2"	9131	8408	18277	738
"2020 Q3"	11788	9571	22095	736
"2020 Q4"	14808	10640	26189	741
"2021 Q1"	17268	12107	30135	760
"2021 Q2"	19602	13802	34170	766
