"Date"	"PiG Eligible Cars 2,3"	"...3"	"Non PiG Eligible Plug-in Cars 2,3"	"Non Plug-in Cars"	"Plug-in Quadricycles"	"All Cars"	"...8"	"PiG Eligible Motorcycles 2,4"	"Non PiG Eligible Motorcycles 2,4"	"All Motorcycles 4"	"...12"	"PiG Eligible Light Goods Vehicles 2"	"Non PiG Eligible Plug-in Light Goods Vehicles 2"	"Non Plug-in Light Goods Vehicles"	"All Light Goods Vehicles"	"...17"	"Heavy Goods Vehicles"	"Buses & coaches"	"Other vehicles"	"Total"
"2010 Q1"	"0"	"0"	"1"	"0"	"0"	"1"	0	"0"	"4"	"4"	0	"0"	"3"	"0"	"3"	0	"0"	"0"	"0"	"8"
"2010 Q2"	"0"	"0"	"3"	"0"	"0"	"3"	0	"0"	"1"	"1"	0	"0"	"3"	"0"	"3"	0	"0"	"0"	"2"	"9"
"2010 Q3"	"0"	"0"	"7"	"0"	"0"	"7"	0	"0"	"6"	"6"	0	"0"	"6"	"0"	"6"	0	"0"	"0"	"2"	"21"
"2010 Q4"	"0"	"0"	"0"	"0"	"0"	"0"	0	"0"	"2"	"2"	0	"0"	"0"	"0"	"0"	0	"0"	"0"	"1"	"3"
"2011 Q1"	"14"	"0"	"28"	"0"	"0"	"42"	0	"0"	"4"	"4"	0	"0"	"14"	"0"	"14"	0	"0"	"0"	"4"	"64"
"2011 Q2"	"37"	"0"	"0"	"0"	"0"	"37"	0	"0"	"1"	"1"	0	"0"	"4"	"0"	"4"	0	"0"	"0"	"3"	"45"
"2011 Q3"	"14"	"0"	"2"	"0"	"0"	"16"	0	"0"	"3"	"3"	0	"0"	"1"	"0"	"1"	0	"0"	"0"	"0"	"20"
"2011 Q4"	"5"	"0"	"0"	"0"	"0"	"5"	0	"0"	"3"	"3"	0	"1"	"10"	"0"	"11"	0	"0"	"0"	"1"	"20"
"2012 Q1"	"25"	"0"	"1"	"0"	"0"	"26"	0	"0"	"1"	"1"	0	"0"	"9"	"0"	"9"	0	"0"	"0"	"2"	"38"
"2012 Q2"	"23"	"12"	"0"	"0"	"13"	"48"	0	"0"	"3"	"3"	0	"5"	"0"	"0"	"5"	0	"0"	"0"	"8"	"64"
