"Quarter"	"LAName"	"LACode"	"variable"	"value"
2021 Q2	"Aberdeen City"	"S12000033"	"Battery Electric Vehicles"	560
2021 Q2	"Aberdeenshire"	"S12000034"	"Battery Electric Vehicles"	865
2021 Q2	"Angus"	"S12000041"	"Battery Electric Vehicles"	364
2021 Q2	"Argyll and Bute"	"S12000035"	"Battery Electric Vehicles"	226
2021 Q2	"City of Edinburgh"	"S12000036"	"Battery Electric Vehicles"	1693
2021 Q2	"Clackmannanshire"	"S12000005"	"Battery Electric Vehicles"	100
2021 Q2	"Dumfries and Galloway"	"S12000006"	"Battery Electric Vehicles"	288
2021 Q2	"Dundee City"	"S12000042"	"Battery Electric Vehicles"	574
2021 Q2	"East Ayrshire"	"S12000008"	"Battery Electric Vehicles"	275
2021 Q2	"East Dunbartonshire"	"S12000045"	"Battery Electric Vehicles"	353
2021 Q2	"East Lothian"	"S12000010"	"Battery Electric Vehicles"	428
2021 Q2	"East Renfrewshire"	"S12000011"	"Battery Electric Vehicles"	369
2021 Q2	"Falkirk"	"S12000014"	"Battery Electric Vehicles"	368
2021 Q2	"Fife"	"S12000047"	"Battery Electric Vehicles"	993
2021 Q2	"Glasgow City"	"S12000049"	"Battery Electric Vehicles"	1524
2021 Q2	"Highland"	"S12000017"	"Battery Electric Vehicles"	623
2021 Q2	"Inverclyde"	"S12000018"	"Battery Electric Vehicles"	145
2021 Q2	"Midlothian"	"S12000019"	"Battery Electric Vehicles"	318
2021 Q2	"Moray"	"S12000020"	"Battery Electric Vehicles"	189
2021 Q2	"Na h-Eileanan Siar"	"S12000013"	"Battery Electric Vehicles"	47
2021 Q2	"North Ayrshire"	"S12000021"	"Battery Electric Vehicles"	212
2021 Q2	"North Lanarkshire"	"S12000050"	"Battery Electric Vehicles"	497
2021 Q2	"Orkney Islands"	"S12000023"	"Battery Electric Vehicles"	277
2021 Q2	"Perth and Kinross"	"S12000048"	"Battery Electric Vehicles"	572
2021 Q2	"Renfrewshire"	"S12000038"	"Battery Electric Vehicles"	4604
2021 Q2	"Scottish Borders"	"S12000026"	"Battery Electric Vehicles"	374
2021 Q2	"Shetland Islands"	"S12000027"	"Battery Electric Vehicles"	63
2021 Q2	"South Ayrshire"	"S12000028"	"Battery Electric Vehicles"	265
2021 Q2	"South Lanarkshire"	"S12000029"	"Battery Electric Vehicles"	676
2021 Q2	"Stirling"	"S12000030"	"Battery Electric Vehicles"	1192
2021 Q2	"West Dunbartonshire"	"S12000039"	"Battery Electric Vehicles"	130
2021 Q2	"West Lothian"	"S12000040"	"Battery Electric Vehicles"	434
2021 Q1	"Aberdeen City"	"S12000033"	"Battery Electric Vehicles"	474
2021 Q1	"Aberdeenshire"	"S12000034"	"Battery Electric Vehicles"	757
2021 Q1	"Angus"	"S12000041"	"Battery Electric Vehicles"	317
2021 Q1	"Argyll and Bute"	"S12000035"	"Battery Electric Vehicles"	197
2021 Q1	"City of Edinburgh"	"S12000036"	"Battery Electric Vehicles"	1467
2021 Q1	"Clackmannanshire"	"S12000005"	"Battery Electric Vehicles"	84
2021 Q1	"Dumfries and Galloway"	"S12000006"	"Battery Electric Vehicles"	229
2021 Q1	"Dundee City"	"S12000042"	"Battery Electric Vehicles"	524
2021 Q1	"East Ayrshire"	"S12000008"	"Battery Electric Vehicles"	240
2021 Q1	"East Dunbartonshire"	"S12000045"	"Battery Electric Vehicles"	304
2021 Q1	"East Lothian"	"S12000010"	"Battery Electric Vehicles"	391
2021 Q1	"East Renfrewshire"	"S12000011"	"Battery Electric Vehicles"	332
2021 Q1	"Falkirk"	"S12000014"	"Battery Electric Vehicles"	323
2021 Q1	"Fife"	"S12000047"	"Battery Electric Vehicles"	874
2021 Q1	"Glasgow City"	"S12000049"	"Battery Electric Vehicles"	1397
2021 Q1	"Highland"	"S12000017"	"Battery Electric Vehicles"	535
2021 Q1	"Inverclyde"	"S12000018"	"Battery Electric Vehicles"	128
2021 Q1	"Midlothian"	"S12000019"	"Battery Electric Vehicles"	280
2021 Q1	"Moray"	"S12000020"	"Battery Electric Vehicles"	161
2021 Q1	"Na h-Eileanan Siar"	"S12000013"	"Battery Electric Vehicles"	42
2021 Q1	"North Ayrshire"	"S12000021"	"Battery Electric Vehicles"	169
2021 Q1	"North Lanarkshire"	"S12000050"	"Battery Electric Vehicles"	392
2021 Q1	"Orkney Islands"	"S12000023"	"Battery Electric Vehicles"	266
2021 Q1	"Perth and Kinross"	"S12000048"	"Battery Electric Vehicles"	483
2021 Q1	"Renfrewshire"	"S12000038"	"Battery Electric Vehicles"	4254
2021 Q1	"Scottish Borders"	"S12000026"	"Battery Electric Vehicles"	344
2021 Q1	"Shetland Islands"	"S12000027"	"Battery Electric Vehicles"	46
2021 Q1	"South Ayrshire"	"S12000028"	"Battery Electric Vehicles"	230
2021 Q1	"South Lanarkshire"	"S12000029"	"Battery Electric Vehicles"	601
2021 Q1	"Stirling"	"S12000030"	"Battery Electric Vehicles"	939
2021 Q1	"West Dunbartonshire"	"S12000039"	"Battery Electric Vehicles"	115
2021 Q1	"West Lothian"	"S12000040"	"Battery Electric Vehicles"	369
2020 Q4	"Aberdeen City"	"S12000033"	"Battery Electric Vehicles"	436
2020 Q4	"Aberdeenshire"	"S12000034"	"Battery Electric Vehicles"	662
2020 Q4	"Angus"	"S12000041"	"Battery Electric Vehicles"	300
2020 Q4	"Argyll and Bute"	"S12000035"	"Battery Electric Vehicles"	176
2020 Q4	"City of Edinburgh"	"S12000036"	"Battery Electric Vehicles"	1281
