,2014,2015,2016,2017,2018,2019
Direct Activity,5.85,5.53,5.94,5.93,6.25,5.69
% of UK Direct activity,0.133937459,0.137319962,0.143516226,0.134627398,0.136463883,0.133733567
,,,,,,
,,,,,,
Renewable sector,2.75,c,c,c,3.21,c
Low carbon,3.1,c,c,c,3.04,c
,,,,,,
Low carbon electricity,3.03,3.39,3.57,3.43,3.54,3.21
Offshore wind,0.1,c,c,c,0.26,0.47
Onshore wind,1.66,c,1.57,1.41,2.01,1.3
Solar photovoltaic,0.05,0.07,0.11,0.03,0.07,c
Hydropower,0.38,0.28,0.32,0.55,0.36,0.48
Other renewable electricity,0.03,0.01,0,0.01,0.01,0
Carbon capture and storage,0.01,c,c,~,0,0
Nuclear,0.8,c,c,c,0.83,c
,,,,,,
Low carbon heat,0.17,0.17,0.34,0.22,0.26,0.21
Renewable heat,0.14,0.11,0.22,0.18,0.2,0.19
Renewable combined heat and power,0.03,0.06,0.12,0.03,0.06,0.03
,0,0,0,0,0,0
Energy from waste and biomass,0.37,c,c,0.29,0.24,0.34
Bioenergy (electricity generation only),c,c,c,c,c,0.3
Alternative fuels,c,c,c,c,c,0.04
,,,,,,
Energy efficient products,2.14,1.39,1.6,1.84,2.07,1.77
Energy efficient lighting,0.14,0.08,0.15,0.13,0.26,0.18
Other energy efficient products,1.88,1.11,1.23,1.5,1.65,1.33
"Energy monitoring, saving or control systems",0.12,0.19,0.22,0.21,0.15,0.27
,,,,,,
Low carbon services,c,0.17,0.18,c,c,0.08
Low carbon financial and advisory services,c,0.17,0.18,c,c,0.08
,,,,,,
"Low emission vehicles, infrastructure, fuels cells and energy storage",c,c,c,c,c,0.08
Low emission vehicles and infrastructure ,c,c,c,c,0.06,0.05
Fuels cells and energy storage,c,c,c,c,c,0.03
