Year,Capacity
2010 Q3,4226.164079
2010 Q2,4083.545669
2010 Q1,3940.92726
2009 Q4,3798.30885
2009 Q3,3686.277238
2009 Q2,3574.245625
2009 Q1,3462.214013
2008 Q4,3350.1824
2008 Q3,3175.4193
2008 Q2,3000.6562
2008 Q1,2825.8931
2007 Q4,2651.13
2007 Q3,2582.7475
2007 Q2,2514.365
2007 Q1,2445.9825
2006 Q4,2377.6
2006 Q3,2320.85
2006 Q2,2264.1
2006 Q1,2207.35
2005 Q4,2150.6
2005 Q3,2063.525
2005 Q2,1976.45
2005 Q1,1889.375
2004 Q4,1802.3
2004 Q3,1770.675
2004 Q2,1739.05
2004 Q1,1707.425
2003 Q4,1675.8
2003 Q3,1641.225
2003 Q2,1606.65
2003 Q1,1572.075
2002 Q4,1537.5
2002 Q3,1504
2002 Q2,1470.5
2002 Q1,1437
2001 Q4,1403.5
2001 Q3,1400.375
2001 Q2,1397.25
2001 Q1,1394.125
