"LAU1"	"GovernmentRegion"	"Year"	"All Fuels Total"	"Coal - Industrial & Commercial"	"Coal - Domestic"	"Coal - Rail"	"Coal - Total"	"Manufactured Fuels - Industrial"	"Manufactured Fuels - Domestic"	"Manufactured Fuels - Total"	"Petroleum Products - Industrial & Commercial"	"Petroleum Products - Domestic"	"Petroleum Products - Road transport"	"Petroleum Products - Rail"	"Petroleum Products - Public Sector"	"Petroleum Products - Agriculture"	"Petroleum Products - Total"	"Gas - Industrial & Commercial"	"Gas - Domestic"	"Gas - Total"	"Electricity - Industrial & Commercial"	"Electricity - Domestic"	"Electricity - Total"	"Bioenergy & Wastes - Total"	"Consuming Sector - Industry & Commercial"	"Consuming Sector - Domestic"	"Consuming Sector - Transport"
"S12000033"	"Aberdeen City"	"2017"	"5100.386992"	"4.3747571052999996"	"4.3254427302999998"	"0"	"8.7001998354999994"	"13.568956914999999"	"4.0170980173000004"	"17.586054932"	"430.85230491999999"	"21.203015821000001"	"1052.4480834000001"	"7.0115543527000002"	"17.053274932000001"	"11.488054175"	"1540.0562875999999"	"1003.892783"	"1354.9860868999999"	"2358.8788699000002"	"728.01551408"	"389.75270022000001"	"1117.7682147999999"	"57.397364922000001"	"2209.2456451"	"1774.2843437"	"1059.4596378000001"
"S12000034"	"Aberdeenshire"	"2017"	"6567.7158475"	"47.571205718000002"	"46.576840322000002"	"0"	"94.148046039999997"	"12.58851877"	"27.410130366000001"	"39.998649135999997"	"434.08329848"	"557.83352393999996"	"2290.7034733999999"	"21.498418438000002"	"1.3711120348000001"	"356.02892286000002"	"3661.5187491000002"	"342.95844712000002"	"1057.8320567000001"	"1400.7905037999999"	"678.05378292"	"565.59033541999997"	"1243.6441184"	"127.61578101000001"	"1872.6552879"	"2255.2428867"	"2312.2018917999999"
"S12000041"	"Angus"	"2017"	"2770.7778995"	"21.947969364999999"	"12.300661510999999"	"2.0308678199999999E-2"	"34.268939555000003"	"0"	"7.7701663665999998"	"7.7701663665999998"	"143.48941017000001"	"120.2164824"	"892.83626812"	"12.601807115"	"0.16159595409999999"	"84.061622182999997"	"1253.3671859000001"	"330.74489855000002"	"580.48707506999995"	"911.23197372000004"	"276.36783365999997"	"240.54027715999999"	"516.90811082000005"	"47.231523121000002"	"856.77332988"	"961.3146625"	"905.45838390999995"
"S12000035"	"Argyll and Bute"	"2017"	"2298.3635038"	"17.984845992"	"30.902935830000001"	"0"	"48.887781822000001"	"0.10648553600000001"	"16.913376080999999"	"17.019861617"	"232.48254305"	"125.409779"	"709.93585300999996"	"5.7152330451999998"	"41.439912679000003"	"117.16368660000001"	"1232.1470073999999"	"120.33881001"	"320.49685756999997"	"440.83566767999997"	"232.56623027000001"	"273.80790794000001"	"506.37413821000001"	"53.099047073000001"	"762.08251413"	"767.53085642"	"715.65108606000001"
"S12000036"	"City of Edinburgh"	"2017"	"9975.4657411"	"1.0893149833"	"7.3055618458999998"	"0"	"8.3948768290999993"	"0.2003856443"	"7.1004058081999997"	"7.3007914525000004"	"223.71027860999999"	"20.009639667999998"	"2673.5818779000001"	"35.024839649999997"	"2.8477661218999999"	"10.413380862"	"2965.5877827999998"	"1884.9408165"	"2799.4074882"	"4684.3483046000001"	"1380.1263703"	"850.42765104"	"2230.5540209000001"	"79.279964441999994"	"3503.328313"	"3684.2507465"	"2708.6067174999998"
"S12000005"	"Clackmannanshire"	"2017"	"1780.7359974"	"0.56891202529999996"	"2.7537229065000002"	"0"	"3.3226349318000001"	"0"	"1.9149488962000001"	"1.9149488962000001"	"22.949346173999999"	"9.1627027804000001"	"234.01994624"	"49.494976782999998"	"3.9508900999999999E-2"	"9.8834965697000001"	"325.54997744999997"	"825.83421045"	"306.94897716000003"	"1132.7831878"	"218.21369036999999"	"85.587241629000005"	"303.80093198999998"	"13.364316283999999"	"1077.4891645"	"406.36759337"	"283.51492302999998"
"S12000006"	"Dumfries and Galloway"	"2017"	"5266.1232729"	"26.221806959999999"	"34.197884068999997"	"0"	"60.419691028999999"	"0.4757932902"	"19.331512348"	"19.807305637999999"	"229.06553918"	"255.27756704000001"	"2118.5979650999998"	"46.236572283000001"	"1.1734431585"	"495.41719905000002"	"3145.7682857999998"	"496.04942234999999"	"618.48413479999999"	"1114.5335576"	"521.05104882000001"	"329.03393211000002"	"850.08498093000003"	"75.509451847999998"	"1769.4542528"	"1256.3250304"	"2164.8345373000002"
"S12000042"	"Dundee City"	"2017"	"2926.4492591"	"5.3407751000000003E-3"	"2.8664893869000001"	"0"	"2.8718301620000002"	"0.14714288789999999"	"3.0042498071999999"	"3.1513926951000002"	"92.511294465999995"	"5.6901699881000001"	"692.10739551999995"	"4.4702617"	"0.38152569720000001"	"1.0984640832999999"	"796.25911144999998"	"679.09803864000003"	"764.95454169000004"	"1444.0525803"	"360.0051191"	"284.31814065999998"	"644.32325975000003"	"35.791084746999999"	"1133.2469256"	"1060.8335915"	"696.57765721999999"
"S12000008"	"East Ayrshire"	"2017"	"2771.534877"	"5.2478742263999996"	"6.8981184728000002"	"0"	"12.145992699000001"	"5.3242768000000003E-2"	"4.5779255177999998"	"4.6311682859000003"	"102.61064612"	"37.754292374999999"	"854.80933741000001"	"23.852155255"	"0.69642411289999995"	"95.797250820000002"	"1115.5201061"	"313.50754682000002"	"750.20931658999996"	"1063.7168631"	"240.65278122999999"	"189.04958379999999"	"429.70236503000001"	"145.81838177"	"758.56576609"	"988.48923676"	"878.66149266000002"
"S12000045"	"East Dunbartonshire"	"2017"	"1873.35351"	"2.4715204447999999"	"2.2964842812000001"	"0"	"4.7680047259"	"4.6950054099999999E-2"	"2.2324961722999999"	"2.2794462265000002"	"40.046800091999998"	"8.8292985691000005"	"460.44452102999998"	"53.575413537000003"	"7.2403227900000006E-2"	"8.9618340839999995"	"571.93027054000004"	"150.71874335999999"	"775.71102243999997"	"926.42976569999996"	"166.92635066"	"176.11558812999999"	"343.04193868999999"	"24.904084091000001"	"369.24460193"	"965.18488959"	"514.01993456000002"
